Lon,Lat,Bias,Weighted Average
-87.26449599999999,48.70690300000000,-0.5560770000000000,8.140848303805219
-87.27068600000000,48.69165900000000,-0.6020245600000000,8.159105002148232
-87.27996600000000,48.66879500000000,-0.5987701400000000,8.145244552946926
-87.28924100000000,48.64592600000000,-0.6002960200000000,8.139594442288312
-87.29850399999999,48.62305700000000,-0.6140260700000000,8.124444676295578
-87.30776200000000,48.60019400000000,-0.6618638000000000,8.106463557594688
-87.31667299999999,48.57817100000000,-0.6203551300000000,8.093725294749874
-87.32591900000000,48.55530800000000,-0.6066107700000000,8.075825072974443
-87.33516299999999,48.53243700000000,-0.6571688700000000,8.041619878070961
-87.34440100000001,48.50956900000000,-0.6279816600000000,8.044205040603320
-87.35363400000000,48.48670000000000,-0.6325526200000000,8.028153835848485
-87.36285900000000,48.46382800000000,-0.6080355600000000,8.019997766156996
-87.37173400000000,48.44180400000000,-0.6185979800000000,8.011458547850261
-87.38093800000000,48.41892800000000,-0.5677008600000000,7.980026998289973
-87.39012900000000,48.39604900000000,-0.5721592900000000,8.001237216867603
-87.39931600000000,48.37317700000000,-0.5767264400000000,7.983519903487081
-87.40849900000001,48.35030300000000,-0.5492768300000001,7.983815547282430
-87.41768000000000,48.32742900000000,-0.5599608400000000,7.954649417269573
-87.42652099999999,48.30540300000000,-0.5491733600000001,7.928070453614159
-87.43569100000001,48.28252800000000,-0.5554909700000000,7.946736232196509
-87.44485400000001,48.25965200000000,-0.5771803900000000,7.932192291913665
-87.45400600000001,48.23677600000000,-0.5647563900000000,7.931219672369739
-87.46315000000000,48.21389900000000,-0.5463156700000000,7.964771241662329
-87.47229200000000,48.19101900000000,-0.5647563900000000,7.958860782019447
-87.48108499999999,48.16899000000000,-0.5325408000000000,7.977822107484139
-87.49020600000000,48.14610700000000,-0.5401063000000000,8.017238890586778
-87.49932500000000,48.12322800000000,-0.5601720800000000,8.019394465444675
-87.50843500000001,48.10034500000000,-0.5310092000000000,8.041641885306893
-87.51754300000000,48.07746400000000,-0.5309262300000001,8.063804014974336
-87.52631000000000,48.05542500000000,-0.5094704600000000,8.059693972967670
-87.53540900000000,48.03254100000000,-0.5078659100000000,8.080128800437473
-87.54450199999999,48.00965400000000,-0.5047969800000000,8.084887003861029
-87.55358500000000,47.98676800000000,-0.5310092000000000,8.059922665142318
-87.56265999999999,47.96388000000000,-0.5293083200000001,8.058493483951263
-87.57139599999999,47.94184300000000,-0.5429577800000000,8.032446447053310
-87.58045700000000,47.91895600000000,-0.5277786300000000,8.001553853837692
-87.58951000000000,47.89606600000000,-0.5506973300000000,7.994016446608551
-87.59855500000001,47.87317900000000,-0.5429577800000000,7.933352473814564
-87.60759500000000,47.85028700000000,-0.5457677800000000,7.925520155347162
-87.61629200000000,47.82824600000000,-0.5457677800000000,7.924123893847411
-87.62531600000000,47.80535500000000,-0.5689868900000000,7.875661039939091
-87.63433300000000,47.78246300000000,-0.5381536500000000,7.864500943705803
-87.64334500000000,47.75957200000000,-0.5611186000000000,7.824396127051426
-87.65234900000000,47.73668100000000,-0.5395517300000000,7.815254327359824
-87.66102300000000,47.71463400000000,-0.5255937600000000,7.813865996801292
-87.67002300000000,47.69174800000000,-0.5486812600000000,7.773093414952895
-87.67902300000000,47.66885600000000,-0.5439829800000000,7.742362737065111
-87.68801400000000,47.64596800000000,-0.5348553700000001,7.734058571676441
-87.69699400000000,47.62307400000000,-0.5622048400000000,7.719076026586904
-87.70563500000000,47.60103000000000,-0.5515790000000000,7.724322356295811
-87.71459700000000,47.57813900000000,-0.5332021700000000,7.727571746676613
-87.72355200000000,47.55524200000000,-0.5255937600000000,7.749734125242274
-87.73250100000000,47.53234600000000,-0.5211491600000000,7.713460684651185
-87.81411000000000,47.32287000000000,-0.4275741600000000,7.493641451666966
-87.82102200000000,47.30506000000000,-0.4123892800000000,7.488843649281553
-87.82990500000000,47.28215900000000,-0.3848400100000000,7.440223481908363
-87.83878300000001,47.25925900000000,-0.4427652400000000,7.420741451575172
-87.84765899999999,47.23635500000000,-0.3842301400000000,7.356369720563935
-87.85652900000000,47.21345300000000,-0.4277510600000000,7.367388044112624
-87.86506500000000,47.19139300000000,-0.4569988300000000,7.299248761163315
-87.87392300000001,47.16848800000000,-0.4430584900000000,7.255097178391249
-87.88276999999999,47.14558000000000,-0.4106731400000000,7.293583512892742
-87.89160800000001,47.12267300000000,-0.4091024400000000,7.240943163774498
-87.90043900000001,47.09976400000000,-0.4091534600000000,7.279976252914017
-87.90926000000000,47.07685600000000,-0.3890523900000000,7.274456882800571
-87.91808300000000,47.05394800000000,-0.3748149900000000,7.251361189513958
-87.92689900000001,47.03103900000000,-0.3372745500000000,7.270685547243292
-87.93538300000000,47.00897900000000,-0.1776537900000000,7.255038710962358
-87.94418800000000,46.98606800000000,-0.1047306100000000,7.270727000929818
-87.95135400000000,46.96739700000000,-0.1471834200000000,7.237463687276491
